,isced11,genero,edad,edad_ingresos,geo,periodo,satisfaccion_general,mediana_ingresos,media_ingresos,no_afrontar_imprevistos(%)
0,ED0-2,F,Y16-19,Y16-24,AT,2021-01-01,8.2,27305.0,28228.0,18.6
1,ED0-2,F,Y16-19,Y16-24,AT,2022-01-01,8.1,26070.0,28058.0,19.0
2,ED0-2,F,Y16-19,Y16-24,AT,2023-01-01,7.9,30700.0,32885.0,22.8
3,ED0-2,F,Y16-19,Y16-24,AT,2024-01-01,7.7,31026.0,33804.0,20.9
4,ED0-2,F,Y16-19,Y16-24,BE,2021-01-01,7.5,24390.0,25223.0,22.3
5,ED0-2,F,Y16-19,Y16-24,BE,2022-01-01,7.8,26563.0,27847.0,22.7
6,ED0-2,F,Y16-19,Y16-24,BE,2023-01-01,7.7,27845.0,29150.0,21.5
7,ED0-2,F,Y16-19,Y16-24,BE,2024-01-01,7.9,29218.0,30365.0,21.5
8,ED0-2,F,Y16-19,Y16-24,BG,2021-01-01,6.8,4637.0,5727.0,36.4
9,ED0-2,F,Y16-19,Y16-24,BG,2022-01-01,6.4,5234.0,6239.0,42.4
10,ED0-2,F,Y16-19,Y16-24,BG,2023-01-01,6.9,6001.0,7104.0,46.7
11,ED0-2,F,Y16-19,Y16-24,BG,2024-01-01,7.2,6963.0,8537.0,45.6
12,ED0-2,F,Y16-19,Y16-24,CY,2021-01-01,7.3,16201.0,18397.0,43.4
13,ED0-2,F,Y16-19,Y16-24,CY,2022-01-01,7.9,17344.0,19912.0,39.7
14,ED0-2,F,Y16-19,Y16-24,CY,2023-01-01,8.4,18544.0,20736.0,37.6
15,ED0-2,F,Y16-19,Y16-24,CY,2024-01-01,8.2,20106.0,22121.0,34.8
16,ED0-2,F,Y16-19,Y16-24,CZ,2021-01-01,8.1,10444.0,11561.0,18.1
17,ED0-2,F,Y16-19,Y16-24,CZ,2022-01-01,8.1,11974.0,13004.0,17.5
18,ED0-2,F,Y16-19,Y16-24,CZ,2023-01-01,8.4,12934.0,13912.0,19.7
19,ED0-2,F,Y16-19,Y16-24,CZ,2024-01-01,8.2,14151.0,15288.0,19.2
20,ED0-2,F,Y16-19,Y16-24,DE,2021-01-01,7.56,22501.0,25640.0,32.3
21,ED0-2,F,Y16-19,Y16-24,DE,2022-01-01,6.6,22349.0,25079.0,33.9
22,ED0-2,F,Y16-19,Y16-24,DE,2023-01-01,7.6,23360.0,26079.0,35.0
23,ED0-2,F,Y16-19,Y16-24,DE,2024-01-01,7.5,24711.0,27673.0,32.2
24,ED0-2,F,Y16-19,Y16-24,DK,2021-01-01,7.0,24285.0,26603.0,19.5
25,ED0-2,F,Y16-19,Y16-24,DK,2022-01-01,7.6,26869.0,31587.0,20.2
26,ED0-2,F,Y16-19,Y16-24,DK,2023-01-01,7.5,27632.0,30385.0,23.1
27,ED0-2,F,Y16-19,Y16-24,DK,2024-01-01,7.5,28045.0,29538.0,21.1
28,ED0-2,F,Y16-19,Y16-24,EE,2021-01-01,7.6,11950.0,13043.0,27.1
29,ED0-2,F,Y16-19,Y16-24,EE,2022-01-01,7.6,13733.0,15477.0,31.3
30,ED0-2,F,Y16-19,Y16-24,EE,2023-01-01,7.8,14873.0,15775.0,30.2
31,ED0-2,F,Y16-19,Y16-24,EE,2024-01-01,7.8,16616.0,17571.0,34.7
32,ED0-2,F,Y16-19,Y16-24,EL,2021-01-01,7.5,7622.0,8555.0,46.3
33,ED0-2,F,Y16-19,Y16-24,EL,2022-01-01,8.0,8330.0,9671.0,43.6
34,ED0-2,F,Y16-19,Y16-24,EL,2023-01-01,7.8,8400.0,9528.0,44.3
35,ED0-2,F,Y16-19,Y16-24,EL,2024-01-01,7.6,9821.0,10852.0,43.9
36,ED0-2,F,Y16-19,Y16-24,ES,2021-01-01,7.8,14088.0,16272.0,33.4
37,ED0-2,F,Y16-19,Y16-24,ES,2022-01-01,7.8,14941.0,17062.0,35.5
38,ED0-2,F,Y16-19,Y16-24,ES,2023-01-01,7.9,16500.0,19162.0,37.1
39,ED0-2,F,Y16-19,Y16-24,ES,2024-01-01,7.8,17673.0,19946.0,35.9
