,freq,statinfo,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),sex,age,geo,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
0,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AL,Albania,2018,6.3
1,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AL,Albania,2021,6.3
2,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2013,8.4
3,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2018,8.3
4,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2021,8.2
5,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2022,8.1
6,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2023,7.9
7,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,AT,Austria,2024,7.7
8,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2013,7.7
9,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2018,7.9
10,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2021,7.5
11,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2022,7.8
12,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2023,7.7
13,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BE,Belgium,2024,7.9
14,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2013,6.2
15,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2018,6.7
16,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2021,6.8
17,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2022,6.4
18,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2023,6.9
19,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,BG,Bulgaria,2024,7.2
20,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CH,Switzerland,2013,8.3
21,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CH,Switzerland,2018,8.5
22,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CH,Switzerland,2021,7.9
23,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CH,Switzerland,2022,7.5
24,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CH,Switzerland,2023,6.8
25,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2013,7.6
26,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2018,8.0
27,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2021,7.3
28,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2022,7.9
29,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2023,8.4
30,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CY,Cyprus,2024,8.2
31,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2013,8.0
32,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2018,8.2
33,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2021,8.1
34,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2022,8.1
35,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2023,8.4
36,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,CZ,Czechia,2024,8.2
37,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2013,7.6
38,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2018,8.0
39,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2021,
40,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2022,6.6
41,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2023,7.6
42,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DE,Germany,2024,7.5
43,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2013,8.3
44,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2018,7.2
45,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2021,7.0
46,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2022,7.6
47,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2023,7.5
48,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,DK,Denmark,2024,7.5
49,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EA20,Euro area – 20 countries (from 2023),2022,7.6
50,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EA20,Euro area – 20 countries (from 2023),2023,7.7
51,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EA20,Euro area – 20 countries (from 2023),2024,7.6
52,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2013,7.5
53,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2018,7.9
54,A,AVG,Rating (0-10),ED0-2,"Less than primary, primary and lower secondary education (levels 0-2)",F,Y16-19,EE,Estonia,2021,7.6
