STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,AL,Albania,2021,,40.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,AT,Austria,2021,,18.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,AT,Austria,2022,,19.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,AT,Austria,2023,,22.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,AT,Austria,2024,,20.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BE,Belgium,2021,,22.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BE,Belgium,2022,,22.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BE,Belgium,2023,,21.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BE,Belgium,2024,,21.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BG,Bulgaria,2021,,36.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BG,Bulgaria,2022,,42.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BG,Bulgaria,2023,,46.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,BG,Bulgaria,2024,,45.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CH,Switzerland,2021,,18.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CH,Switzerland,2022,,18.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CH,Switzerland,2023,,18.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CY,Cyprus,2021,,43.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CY,Cyprus,2022,,39.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CY,Cyprus,2023,,37.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CY,Cyprus,2024,,34.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CZ,Czechia,2021,,18.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CZ,Czechia,2022,,17.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CZ,Czechia,2023,,19.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,CZ,Czechia,2024,,19.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DE,Germany,2021,,32.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DE,Germany,2022,,33.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DE,Germany,2023,,35.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DE,Germany,2024,,32.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DK,Denmark,2021,,19.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DK,Denmark,2022,,20.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DK,Denmark,2023,,23.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,DK,Denmark,2024,,21.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EE,Estonia,2021,,27.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EE,Estonia,2022,,31.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EE,Estonia,2023,,30.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EE,Estonia,2024,,34.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EL,Greece,2021,,46.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EL,Greece,2022,,43.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EL,Greece,2023,,44.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,EL,Greece,2024,,43.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2021,,33.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2022,,35.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2023,,37.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ES,Spain,2024,,35.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FI,Finland,2021,,23.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FI,Finland,2022,,23.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FI,Finland,2023,,26.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FI,Finland,2024,,27.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FR,France,2021,,27.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FR,France,2022,,31.4,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FR,France,2023,,29.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,FR,France,2024,,29.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HR,Croatia,2021,,46.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HR,Croatia,2022,,44.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HR,Croatia,2023,,41.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HR,Croatia,2024,,34.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HU,Hungary,2021,,34.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HU,Hungary,2022,,33.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HU,Hungary,2023,,31.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,HU,Hungary,2024,,28.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IE,Ireland,2021,,29.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IE,Ireland,2022,,33.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IE,Ireland,2023,,34.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IE,Ireland,2024,,31.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IT,Italy,2021,,32.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IT,Italy,2022,,32.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IT,Italy,2023,,28.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,IT,Italy,2024,,29.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LT,Lithuania,2021,,36.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LT,Lithuania,2022,,39.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LT,Lithuania,2023,,40.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LT,Lithuania,2024,,41.3,,p,provisional,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LU,Luxembourg,2021,,21.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LU,Luxembourg,2022,,18.8,,b,break in time series,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LU,Luxembourg,2023,,24.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LU,Luxembourg,2024,,22.5,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LV,Latvia,2021,,41.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LV,Latvia,2022,,44.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LV,Latvia,2023,,44.8,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,LV,Latvia,2024,,45.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ME,Montenegro,2021,,61.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,ME,Montenegro,2022,,59.6,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,MT,Malta,2021,,15.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,MT,Malta,2022,,15.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,MT,Malta,2023,,15.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,MT,Malta,2024,,18.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NL,Netherlands,2021,,15.1,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NL,Netherlands,2022,,14.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NL,Netherlands,2023,,15.9,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NL,Netherlands,2024,,17.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NO,Norway,2021,,23.4,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NO,Norway,2022,,22.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NO,Norway,2023,,24.2,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,NO,Norway,2024,,23.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PL,Poland,2021,,24.7,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PL,Poland,2022,,27.3,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PL,Poland,2023,,26.0,,,,,
dataflow,ESTAT:ILC_MDES04_R(1.0),Inability to face unexpected financial expenses by NUTS 2 region,A,Annual,PC,Percentage,PL,Poland,2024,,23.0,,,,,
